id,predio,pavimento,banda,rssi_dbm,canal_usado,canal_melhor,pct_melhor_canal,dist_campo_m,dist_origem,dist_ap_conectado_m,x_m,y_m,bssid_bruto,altura_medicao_m,obstaculos,obstaculos_registrado,local,datahora,obs_campo
14,M,-1,2.4,-44,1,11,50,1.0,planta,,,,e0:10:7f:7d:ea:79,,Nenhum,,Abaixo do AP1,2026-08-07T11:38:00,
15,M,-1,2.4,-60,11,6,4,6.0,planta,15.0,,,,,Nenhum,,Entrada,2026-08-07T11:41:00,"Anotado em campo como '6 m (dist real), 15 m (do AP conectado)'. O AP mais proximo esta a cerca de 8 m, mas o dispositivo permaneceu associado a um AP a cerca de 17 m."
16,M,-1,2.4,-68,1,6,48,8.0,planta,18.0,,,,,Parede/porta metalica,,Escada,2026-08-07T11:43:00,"Anotado em campo como '8 m (dist real), 18 m (do AP conectado)'. Mesmo caso do ponto 15."
17,M,-1,2.4,-37,1,6,7,3.0,planta,,,,,,Nenhum,,Meio (entre os dois APs),2026-08-07T11:45:00,
18,M,1,5,-62,36,100,100,4.0,planta,,,,,,Parede/porta,,Sala entre AP1 e AP2,2026-08-07T11:48:00,
19,M,1,5,-59,52,100,100,1.0,planta,,,,,,Nenhum,,Abaixo do AP2,2026-08-07T11:52:00,
20,M,1,5,-58,157,140,100,1.0,planta,,,,,,Nenhum,,Abaixo do AP1,2026-08-07T11:55:00,
21,M,1,5,-52,132,108,100,3.0,planta,,,,,,Nenhum,,Janela/bebedouro,2026-08-07T11:57:00,
22,M,1,5,,,116,100,8.0,planta,18.0,,,,,Parede/porta metalica,,Escada,2026-08-07T12:00:00,"Sem conexao em 5 GHz na escada: nao foi possivel identificar associacao com nenhum AP, provavelmente por distancia ou interferencia. Zona cega."
23,M,0,5,-52,157,100,32,4.0,planta,,,,,,Parede/porta,,Sala entre AP1 e AP2,2026-08-07T12:05:00,
24,M,0,5,-51,116,124,100,1.0,planta,,,,,,Nenhum,,Abaixo do AP2,2026-08-07T12:08:00,
25,M,0,5,-53,116,52,100,1.0,planta,,,,,,Nenhum,,Abaixo do AP1,2026-08-07T12:11:00,
26,M,0,5,-53,157,116,100,3.0,planta,,,,,,Nenhum,,Entrada,2026-08-07T12:15:00,
27,M,-1,5,-46,52,116,100,4.0,planta,,,,,,Parede/porta,,Sala ao lado do AP2,2026-08-07T12:17:00,
28,M,-1,5,-59,52,100,100,1.0,planta,,,,,,Nenhum,,Abaixo do AP2,2026-08-07T12:19:00,
29,M,-1,5,-38,52,116,100,1.0,planta,,,,,,Nenhum,,Abaixo do AP1,2026-08-07T12:22:00,
30,M,-1,5,-50,52,116,100,3.0,planta,,,,,,Nenhum,,Entrada,2026-08-07T12:26:00,
31,I,1,2.4,-55,6,1,37,6.0,planta,,,,70:47:77:74:84:10,,Nenhum,,Fundo do corredor,2026-08-07,
32,I,1,2.4,-33,11,1,29,0.0,planta,,,,00:e6:3a:5e:4e:a0,,Nenhum,,Abaixo do AP2,2026-08-07,"Distancia anotada em campo como 0 m (medicao diretamente sob o AP)."
33,I,1,2.4,-47,6,11,27,1.0,planta,,,,70:47:77:75:2a:a0,,Nenhum,,Abaixo do AP1,2026-08-07,
34,I,1,2.4,-58,6,11,10,8.0,planta,,,,3c:46:a1:66:33:40,,Nenhum,,Janela/Bebedouro,2026-08-07,
35,I,1,2.4,-59,1,11,40,9.0,planta,,,,c8:a6:08:43:20:a0,,Paredes,,Escada,2026-08-07,
36,I,0,2.4,-52,6,11,34,4.0,planta,,,,3c:46:a1:66:33:40,,Nenhum,,Fundo do Terreo,2026-08-07,
37,I,0,2.4,-46,6,11,25,2.0,planta,,,,3c:46:a1:66:33:30,,Nenhum,,Abaixo do AP2,2026-08-07,
38,I,0,2.4,-36,6,11,0,1.0,planta,,,,3c:46:a1:66:33:40,,Nenhum,,Abaixo do AP1,2026-08-07,
39,I,0,2.4,-55,1,6,50,6.0,planta,,,,3c:46:a1:66:33:40,,Paredes,,Escada,2026-08-07,
40,I,0,2.4,-59,1,11,52,9.0,planta,,,,3c:46:a1:66:33:40,,Portoes de metal,,Entrada,2026-08-07,
41,I,-1,2.4,-45,1,1,100,2.0,planta,,,,3c:46:a1:66:33:40,,Nenhum,,Entrada/Bebedouro,2026-08-07,
42,I,-1,2.4,-38,1,11,28,1.0,planta,,,,3c:46:a1:66:33:40,,Nenhum,,Abaixo do AP1,2026-08-07,
43,I,-1,2.4,-28,6,11,33,0.0,planta,,,,c8:a6:08:44:3b:70,,Nenhum,Prateleiras de metal,Abaixo do AP2,2026-08-07,"Distancia anotada em campo como 0 m (medicao diretamente sob o AP). Reclassificado como SEM obstaculo em 18/08/2026: a medicao foi feita diretamente sob o AP, sem nada interposto no caminho do enlace; as prateleiras de metal estao no entorno do ponto. Anotacao original em obstaculos_registrado."
44,I,-1,2.4,-56,6,11,26,6.0,planta,,,,3c:46:a1:66:33:30,,Prateleiras de metal/Colunas,,Canto da Biblioteca,2026-08-07,
45,I,-1,2.4,-58,6,11,49,8.0,planta,,,,c8:a6:08:44:3b:70,,Paredes,,Escada,2026-08-07,
46,I,1,5,-52,40,44,100,2.0,planta,,,,00:e6:3a:9e:4e:a0,,Nenhum,,Fundo do corredor,2026-08-07,
47,I,1,5,-32,40,44,100,0.0,planta,,,,00:e6:3a:9e:4e:a0,,Nenhum,,Abaixo do AP2,2026-08-07,"Distancia anotada em campo como 0 m (medicao diretamente sob o AP)."
48,I,1,5,-42,52,36,100,1.0,planta,,,,c8:a6:08:83:20:a0,,Nenhum,,Abaixo do AP1,2026-08-07,
49,I,1,5,-40,52,60,100,8.0,planta,,,,c8:a6:08:83:20:a0,,Nenhum,,Janela/Bebedouro,2026-08-07,
50,I,0,5,-53,108,100,100,4.0,planta,,,,3c:46:a1:a6:33:40,,Nenhum,,Fundo do Terreo,2026-08-07,
51,I,0,5,-55,108,132,100,2.0,planta,,,,3c:46:a1:a6:33:40,,Nenhum,,Abaixo do AP2,2026-08-07,
52,I,0,5,-37,108,132,100,1.0,planta,,,,3c:46:a1:a6:33:40,,Nenhum,,Abaixo do AP1,2026-08-07,
53,I,-1,5,-55,108,140,100,2.0,planta,,,,3c:46:a1:a6:33:40,,Nenhum,,Entrada/Bebedouro,2026-08-07,
54,I,-1,5,-57,108,140,100,3.0,planta,,,,3c:46:a1:a6:33:40,,Nenhum,,Abaixo do AP1,2026-08-07,
55,I,-1,5,-33,60,36,100,0.0,planta,,,,70:47:77:b4:55:60,,Nenhum,Prateleiras de metal,Abaixo do AP2,2026-08-07,"Distancia anotada em campo como 0 m (medicao diretamente sob o AP). Reclassificado como SEM obstaculo em 18/08/2026: mesmo criterio do ponto 43. Anotacao original em obstaculos_registrado."
56,I,-1,5,-64,124,36,100,7.0,planta,,,,00:e6:3a:8a:81:70,,Prateleiras de metal/Colunas,,Canto da Biblioteca,2026-08-07,
